cant-clientes=algunos ===> espero=true; (6701, 6701) 
cant-clientes=ninguno ===> espero=false; (6566, 6566) 
cant-clientes=lleno and tiempo-espera-aprox=>60 ===> espero=false; (1717, 1717) 
cant-clientes=lleno and tiempo-espera-aprox=0-10 ===> espero=true; (1633, 1633) 
estoy-hambriento=false and cant-clientes=lleno and tiempo-espera-aprox=10-30 ===> espero=true; (797, 797) 
hay-alternativa=false and cant-clientes=lleno and tenia-reserva=true and tiempo-espera-aprox=30-60 ===> espero=true; (419, 419) 
tiene-bar=true and es-vier-sab=true and cant-clientes=lleno and tiempo-espera-aprox=30-60 ===> espero=true; (405, 405) 
estoy-hambriento=true and cant-clientes=lleno and esta-lloviendo=true and tiempo-espera-aprox=10-30 ===> espero=true; (395, 395) 
hay-alternativa=true and es-vier-sab=false and cant-clientes=lleno and tiempo-espera-aprox=30-60 ===> espero=false; (377, 377) 
hay-alternativa=false and tiene-bar=false and cant-clientes=lleno and tenia-reserva=false and tiempo-espera-aprox=30-60 ===> espero=false; (191, 191) 
hay-alternativa=true and estoy-hambriento=true and cant-clientes=lleno and esta-lloviendo=false and tiempo-espera-aprox=10-30 ===> espero=false; (178, 178) 
hay-alternativa=false and estoy-hambriento=true and cant-clientes=lleno and esta-lloviendo=false and tiempo-espera-aprox=10-30 ===> espero=true; (176, 176) 
hay-alternativa=true and tiene-bar=false and es-vier-sab=true and cant-clientes=lleno and tiempo-espera-aprox=30-60 ===> espero=true; (174, 174) 
